,County,FirstDose,PercentFirstDose,txtPercentFirstDose,SecondDose,PercentSecondDose,txtPercentSecondDose,SingleDose,PercentSingleDose,txtPercentSingleDose,AtLeastOneVaccine,PercentAtLeastOneVaccine,txtPercentAtLeastOneVaccine,FullyVaccinated,PercentFullyVaccinated,txtPercentFullyVaccinated
0,Allegany,34763,49.368,49.368,31629,44.917,44.917,3684,5.232,5.232,38447.0,54.6,54.6,35313.0,50.149,50.149
1,Anne Arundel,408461,70.517,70.517,369681,63.822,63.822,26969,4.656,4.656,435430.0,75.173,75.173,396650.0,68.478,68.478
2,Baltimore,557959,67.438,67.438,511656,61.841,61.841,39009,4.715,4.715,596968.0,72.152,72.152,550665.0,66.556,66.556
3,Baltimore City,384002,64.702,64.702,341805,57.592,57.592,23903,4.028,4.028,407905.0,68.73,68.73,365708.0,61.62,61.62
4,Calvert,63103,68.201,68.201,57116,61.73,61.73,4269,4.614,4.614,67372.0,72.815,72.815,61385.0,66.344,66.344
5,Caroline,16175,48.419,48.419,14677,43.935,43.935,3322,9.944,9.944,19497.0,58.364,58.364,17999.0,53.88,53.88
6,Carroll,117387,69.688,69.688,108669,64.512,64.512,11335,6.729,6.729,128722.0,76.417,76.417,120004.0,71.241,71.241
7,Cecil,52756,51.292,51.292,47383,46.068,46.068,4338,4.218,4.218,57094.0,55.509,55.509,51721.0,50.285,50.285
8,Charles,105374,64.545,64.545,93550,57.302,57.302,5843,3.579,3.579,111217.0,68.124,68.124,99393.0,60.881,60.881
9,Dorchester,16898,52.924,52.924,15239,47.728,47.728,2386,7.473,7.473,19284.0,60.397,60.397,17625.0,55.201,55.201
10,Frederick,180386,69.5,69.5,164258,63.286,63.286,17877,6.888,6.888,198263.0,76.388,76.388,182135.0,70.174,70.174
11,Garrett,12908,44.489,44.489,11587,39.936,39.936,1000,3.447,3.447,13908.0,47.935,47.935,12587.0,43.383,43.383
12,Harford,163031,63.823,63.823,149706,58.607,58.607,14503,5.678,5.678,177534.0,69.501,69.501,164209.0,64.285,64.285
13,Howard,272086,83.541,83.541,248731,76.37,76.37,15437,4.74,4.74,287523.0,88.281,88.281,264168.0,81.11,81.11
14,Kent,13149,67.702,67.702,11903,61.286,61.286,1106,5.695,5.695,14255.0,73.396,73.396,13009.0,66.981,66.981
15,Montgomery,866646,82.484,82.484,766276,72.931,72.931,48799,4.644,4.644,915445.0,87.128,87.128,815075.0,77.575,77.575
16,Prince George's,618625,68.031,68.031,534803,58.813,58.813,32519,3.576,3.576,651144.0,71.607,71.607,567322.0,62.389,62.389
17,Queen Anne's,31119,61.767,61.767,28390,56.351,56.351,2825,5.607,5.607,33944.0,67.375,67.375,31215.0,61.958,61.958
18,St. Mary's,67954,59.866,59.866,61726,54.379,54.379,4371,3.851,3.851,72325.0,63.717,63.717,66097.0,58.23,58.23
19,Somerset,12658,49.414,49.414,11291,44.078,44.078,1316,5.137,5.137,13974.0,54.552,54.552,12607.0,49.215,49.215
20,Talbot,25101,67.51,67.51,22642,60.897,60.897,3106,8.354,8.354,28207.0,75.864,75.864,25748.0,69.25,69.25
21,Washington,77225,51.126,51.126,69854,46.246,46.246,12186,8.068,8.068,89411.0,59.193,59.193,82040.0,54.314,54.314
22,Wicomico,54552,52.652,52.652,49190,47.477,47.477,4742,4.577,4.577,59294.0,57.229,57.229,53932.0,52.053,52.053
23,Worcester,35097,67.138,67.138,31640,60.525,60.525,2865,5.481,5.481,37962.0,72.618,72.618,34505.0,66.005,66.005
24,Unknown,463388,,,327900,,,45102,,,508490.0,,,373002.0,,
