,County,FirstDose,PercentFirstDose,txtPercentFirstDose,SecondDose,PercentSecondDose,txtPercentSecondDose,SingleDose,PercentSingleDose,txtPercentSingleDose,AtLeastOneVaccine,PercentAtLeastOneVaccine,txtPercentAtLeastOneVaccine,FullyVaccinated,PercentFullyVaccinated,txtPercentFullyVaccinated
0,Allegany,34425,48.888,48.888,31511,44.75,44.75,3664,5.203,5.203,38089.0,54.091,54.091,35175.0,49.953,49.953
1,Anne Arundel,410324,70.839,70.839,374413,64.639,64.639,27073,4.674,4.674,437397.0,75.513,75.513,401486.0,69.313,69.313
2,Baltimore,587048,70.954,70.954,542409,65.558,65.558,40134,4.851,4.851,627182.0,75.804,75.804,582543.0,70.409,70.409
3,Baltimore City,375175,63.215,63.215,336245,56.656,56.656,23767,4.005,4.005,398942.0,67.22,67.22,360012.0,60.66,60.66
4,Calvert,63257,68.367,68.367,57589,62.242,62.242,4309,4.657,4.657,67566.0,73.025,73.025,61898.0,66.899,66.899
5,Caroline,16313,48.833,48.833,15055,45.067,45.067,3313,9.917,9.917,19626.0,58.75,58.75,18368.0,54.984,54.984
6,Carroll,112225,66.623,66.623,104540,62.061,62.061,10740,6.376,6.376,122965.0,72.999,72.999,115280.0,68.437,68.437
7,Cecil,53618,52.13,52.13,48504,47.158,47.158,4375,4.254,4.254,57993.0,56.383,56.383,52879.0,51.411,51.411
8,Charles,107269,65.706,65.706,96131,58.883,58.883,5845,3.58,3.58,113114.0,69.286,69.286,101976.0,62.463,62.463
9,Dorchester,17258,54.051,54.051,15893,49.776,49.776,2418,7.573,7.573,19676.0,61.624,61.624,18311.0,57.349,57.349
10,Frederick,189700,73.089,73.089,174051,67.06,67.06,18611,7.171,7.171,208311.0,80.259,80.259,192662.0,74.23,74.23
11,Garrett,13787,47.518,47.518,12418,42.8,42.8,1068,3.681,3.681,14855.0,51.199,51.199,13486.0,46.481,46.481
12,Harford,167599,65.612,65.612,155192,60.755,60.755,14872,5.822,5.822,182471.0,71.434,71.434,170064.0,66.577,66.577
13,Howard,273550,83.991,83.991,251751,77.298,77.298,15374,4.72,4.72,288924.0,88.711,88.711,267125.0,82.018,82.018
14,Kent,12117,62.388,62.388,11059,56.941,56.941,1066,5.489,5.489,13183.0,67.877,67.877,12125.0,62.429,62.429
15,Montgomery,875979,83.372,83.372,780308,74.266,74.266,48947,4.659,4.659,924926.0,88.031,88.031,829255.0,78.925,78.925
16,Prince George's,637845,70.145,70.145,556501,61.199,61.199,33143,3.645,3.645,670988.0,73.79,73.79,589644.0,64.844,64.844
17,Queen Anne's,32550,64.608,64.608,29858,59.264,59.264,2938,5.832,5.832,35488.0,70.439,70.439,32796.0,65.096,65.096
18,St. Mary's,69661,61.37,61.37,63652,56.076,56.076,4483,3.949,3.949,74144.0,65.319,65.319,68135.0,60.026,60.026
19,Somerset,12294,47.993,47.993,11123,43.422,43.422,1251,4.884,4.884,13545.0,52.877,52.877,12374.0,48.306,48.306
20,Talbot,25438,68.417,68.417,23125,62.196,62.196,3119,8.389,8.389,28557.0,76.805,76.805,26244.0,70.584,70.584
21,Washington,78869,52.214,52.214,71912,47.608,47.608,12349,8.175,8.175,91218.0,60.39,60.39,84261.0,55.784,55.784
22,Wicomico,55574,53.638,53.638,50593,48.831,48.831,4822,4.654,4.654,60396.0,58.292,58.292,55415.0,53.485,53.485
23,Worcester,35804,68.49,68.49,32451,62.076,62.076,2963,5.668,5.668,38767.0,74.158,74.158,35414.0,67.744,67.744
24,Unknown,484376,,,341954,,,45822,,,530198.0,,,387776.0,,
