"County","Percent with at least one dose by gender group","Percent with completed vaccine series by gender group","Percent up to date with vaccine doses by gender group","Gender","reportedDate","webDate"
"AITKIN","64.8 %","62.7 %","23.6 %","Female","8/7/2022",2022-08-09
"AITKIN","55.8 %","53.2 %","17.3 %","Male","8/7/2022",2022-08-09
"ANOKA","74 %","70.6 %","31.7 %","Female","8/7/2022",2022-08-09
"ANOKA","66.1 %","62.3 %","24.9 %","Male","8/7/2022",2022-08-09
"BECKER","61.3 %","58.8 %","21.8 %","Female","8/7/2022",2022-08-09
"BECKER","52.5 %","49.4 %","16.3 %","Male","8/7/2022",2022-08-09
"BELTRAMI","65.7 %","61.9 %","29.1 %","Female","8/7/2022",2022-08-09
"BELTRAMI","59.6 %","55.4 %","24.2 %","Male","8/7/2022",2022-08-09
"BENTON","58.7 %","56.3 %","24.1 %","Female","8/7/2022",2022-08-09
"BENTON","49.2 %","46.3 %","16.6 %","Male","8/7/2022",2022-08-09
"BIG STONE","67.3 %","65.7 %","26.9 %","Female","8/7/2022",2022-08-09
"BIG STONE","57.8 %","55.7 %","20 %","Male","8/7/2022",2022-08-09
"BLUE EARTH","68 %","64.8 %","30 %","Female","8/7/2022",2022-08-09
"BLUE EARTH","61.6 %","57.9 %","23.5 %","Male","8/7/2022",2022-08-09
"BROWN","70.1 %","68.1 %","27.8 %","Female","8/7/2022",2022-08-09
"BROWN","61.2 %","58.6 %","20.7 %","Male","8/7/2022",2022-08-09
"CARLTON","75.5 %","72.1 %","32.5 %","Female","8/7/2022",2022-08-09
"CARLTON","66.4 %","62.7 %","25.9 %","Male","8/7/2022",2022-08-09
"CARVER","80.6 %","77 %","37.5 %","Female","8/7/2022",2022-08-09
"CARVER","74.5 %","70.8 %","31.4 %","Male","8/7/2022",2022-08-09
"CASS","63.6 %","60.4 %","23.3 %","Female","8/7/2022",2022-08-09
"CASS","56.6 %","52.9 %","18.8 %","Male","8/7/2022",2022-08-09
"CHIPPEWA","60.5 %","58.3 %","23.2 %","Female","8/7/2022",2022-08-09
"CHIPPEWA","53.5 %","50.3 %","17.9 %","Male","8/7/2022",2022-08-09
"CHISAGO","64.1 %","61.7 %","26.2 %","Female","8/7/2022",2022-08-09
"CHISAGO","53.3 %","50.9 %","19.7 %","Male","8/7/2022",2022-08-09
"CLAY","66.5 %","62 %","26.6 %","Female","8/7/2022",2022-08-09
"CLAY","58.7 %","53.9 %","20.1 %","Male","8/7/2022",2022-08-09
"CLEARWATER","45.6 %","43.5 %","15.3 %","Female","8/7/2022",2022-08-09
"CLEARWATER","37.9 %","35.5 %","10.8 %","Male","8/7/2022",2022-08-09
"COOK","88.2 %","83.9 %","48.9 %","Female","8/7/2022",2022-08-09
"COOK","86.9 %","82.3 %","43.4 %","Male","8/7/2022",2022-08-09
"COTTONWOOD","60.5 %","58.6 %","19.4 %","Female","8/7/2022",2022-08-09
"COTTONWOOD","55.4 %","52.8 %","16.3 %","Male","8/7/2022",2022-08-09
"CROW WING","62.7 %","60.4 %","24.1 %","Female","8/7/2022",2022-08-09
"CROW WING","54.4 %","51.2 %","19 %","Male","8/7/2022",2022-08-09
"DAKOTA","82.2 %","78.2 %","39.6 %","Female","8/7/2022",2022-08-09
"DAKOTA","75.5 %","71.1 %","32.4 %","Male","8/7/2022",2022-08-09
"DODGE","71.1 %","68.8 %","32.6 %","Female","8/7/2022",2022-08-09
"DODGE","59.3 %","56.5 %","22.8 %","Male","8/7/2022",2022-08-09
"DOUGLAS","64.9 %","62.6 %","27.8 %","Female","8/7/2022",2022-08-09
"DOUGLAS","55.8 %","52.9 %","20.3 %","Male","8/7/2022",2022-08-09
"FARIBAULT","61.2 %","59.2 %","23.6 %","Female","8/7/2022",2022-08-09
"FARIBAULT","51.9 %","49.6 %","17 %","Male","8/7/2022",2022-08-09
"FILLMORE","68.8 %","67 %","28.9 %","Female","8/7/2022",2022-08-09
"FILLMORE","57.9 %","55.9 %","20.5 %","Male","8/7/2022",2022-08-09
"FREEBORN","66.1 %","63.7 %","29.1 %","Female","8/7/2022",2022-08-09
"FREEBORN","57.8 %","54.8 %","21.2 %","Male","8/7/2022",2022-08-09
"GOODHUE","72.5 %","69.9 %","34.6 %","Female","8/7/2022",2022-08-09
"GOODHUE","63.5 %","60.5 %","26.4 %","Male","8/7/2022",2022-08-09
"GRANT","59.2 %","57.3 %","21.3 %","Female","8/7/2022",2022-08-09
"GRANT","51.6 %","48.6 %","15.9 %","Male","8/7/2022",2022-08-09
"HENNEPIN","82.7 %","77.7 %","43.4 %","Female","8/7/2022",2022-08-09
"HENNEPIN","78.8 %","73.4 %","37.9 %","Male","8/7/2022",2022-08-09
"HOUSTON","73.2 %","70.7 %","32.9 %","Female","8/7/2022",2022-08-09
"HOUSTON","62.1 %","59.1 %","24.9 %","Male","8/7/2022",2022-08-09
"HUBBARD","58.2 %","55.4 %","20.3 %","Female","8/7/2022",2022-08-09
"HUBBARD","52 %","48.5 %","16 %","Male","8/7/2022",2022-08-09
"ISANTI","56.2 %","53.9 %","20.5 %","Female","8/7/2022",2022-08-09
"ISANTI","46.4 %","43.7 %","14.6 %","Male","8/7/2022",2022-08-09
"ITASCA","63 %","60.6 %","25.1 %","Female","8/7/2022",2022-08-09
"ITASCA","55.9 %","53.3 %","19.5 %","Male","8/7/2022",2022-08-09
"JACKSON","56.8 %","54.8 %","18.5 %","Female","8/7/2022",2022-08-09
"JACKSON","50.3 %","48.3 %","13.5 %","Male","8/7/2022",2022-08-09
"KANABEC","53.5 %","51.5 %","20.3 %","Female","8/7/2022",2022-08-09
"KANABEC","45.2 %","42.8 %","15.2 %","Male","8/7/2022",2022-08-09
"KANDIYOHI","62.4 %","59.9 %","27 %","Female","8/7/2022",2022-08-09
"KANDIYOHI","54.2 %","50.8 %","19.1 %","Male","8/7/2022",2022-08-09
"KITTSON","59.6 %","57.9 %","27.6 %","Female","8/7/2022",2022-08-09
"KITTSON","56.8 %","55.3 %","21.9 %","Male","8/7/2022",2022-08-09
"KOOCHICHING","59 %","57.1 %","22.1 %","Female","8/7/2022",2022-08-09
"KOOCHICHING","56.4 %","54.3 %","18.9 %","Male","8/7/2022",2022-08-09
"LAC QUI PARLE","65.6 %","63.8 %","26.3 %","Female","8/7/2022",2022-08-09
"LAC QUI PARLE","58.7 %","55.9 %","19.4 %","Male","8/7/2022",2022-08-09
"LAKE","75 %","72.1 %","33.5 %","Female","8/7/2022",2022-08-09
"LAKE","68.9 %","65.4 %","27.2 %","Male","8/7/2022",2022-08-09
"LAKE OF THE WOODS","64.6 %","61.4 %","19.8 %","Female","8/7/2022",2022-08-09
"LAKE OF THE WOODS","54.1 %","51.9 %","14.1 %","Male","8/7/2022",2022-08-09
"LE SUEUR","66 %","63.4 %","26.8 %","Female","8/7/2022",2022-08-09
"LE SUEUR","58.5 %","55.5 %","20.7 %","Male","8/7/2022",2022-08-09
"LINCOLN","59 %","57.1 %","20.5 %","Female","8/7/2022",2022-08-09
"LINCOLN","52.3 %","50.1 %","14.8 %","Male","8/7/2022",2022-08-09
"LYON","60.5 %","57.7 %","21.1 %","Female","8/7/2022",2022-08-09
"LYON","54.1 %","51.3 %","15.8 %","Male","8/7/2022",2022-08-09
"MAHNOMEN","55.8 %","52.9 %","17.5 %","Female","8/7/2022",2022-08-09
"MAHNOMEN","53.1 %","49.7 %","14.5 %","Male","8/7/2022",2022-08-09
"MARSHALL","55.1 %","53.1 %","16.2 %","Female","8/7/2022",2022-08-09
"MARSHALL","49.2 %","47.2 %","12.8 %","Male","8/7/2022",2022-08-09
"MARTIN","59.9 %","57.7 %","23.1 %","Female","8/7/2022",2022-08-09
"MARTIN","51.1 %","48.7 %","16.6 %","Male","8/7/2022",2022-08-09
"MCLEOD","64.6 %","62.3 %","24.2 %","Female","8/7/2022",2022-08-09
"MCLEOD","56.3 %","53.4 %","17.5 %","Male","8/7/2022",2022-08-09
"MEEKER","56.1 %","54.4 %","20.5 %","Female","8/7/2022",2022-08-09
"MEEKER","46.9 %","44.6 %","15.1 %","Male","8/7/2022",2022-08-09
"MILLE LACS","55.8 %","53 %","20.5 %","Female","8/7/2022",2022-08-09
"MILLE LACS","45.9 %","42.5 %","15 %","Male","8/7/2022",2022-08-09
"MORRISON","55.8 %","53.8 %","21 %","Female","8/7/2022",2022-08-09
"MORRISON","45.1 %","42.2 %","14.1 %","Male","8/7/2022",2022-08-09
"MOWER","69.8 %","66.7 %","30.7 %","Female","8/7/2022",2022-08-09
"MOWER","61.5 %","57.8 %","23.3 %","Male","8/7/2022",2022-08-09
"MURRAY","63.6 %","61.5 %","19.7 %","Female","8/7/2022",2022-08-09
"MURRAY","54.1 %","51.7 %","13.7 %","Male","8/7/2022",2022-08-09
"NICOLLET","70.9 %","68.2 %","32.2 %","Female","8/7/2022",2022-08-09
"NICOLLET","66.3 %","63.1 %","26.5 %","Male","8/7/2022",2022-08-09
"NOBLES","65.2 %","61.3 %","20.4 %","Female","8/7/2022",2022-08-09
"NOBLES","60 %","55.9 %","17.2 %","Male","8/7/2022",2022-08-09
"NORMAN","64.3 %","61.5 %","20.9 %","Female","8/7/2022",2022-08-09
"NORMAN","56.2 %","53.6 %","15.9 %","Male","8/7/2022",2022-08-09
"OLMSTED","88 %","83.8 %","48 %","Female","8/7/2022",2022-08-09
"OLMSTED","80.3 %","75.8 %","39.2 %","Male","8/7/2022",2022-08-09
"OTTER TAIL","62.4 %","59.6 %","23.1 %","Female","8/7/2022",2022-08-09
"OTTER TAIL","53.2 %","50 %","17.6 %","Male","8/7/2022",2022-08-09
"PENNINGTON","60.5 %","58.6 %","21.5 %","Female","8/7/2022",2022-08-09
"PENNINGTON","57.3 %","54.4 %","18.3 %","Male","8/7/2022",2022-08-09
"PINE","55.7 %","53.4 %","20.3 %","Female","8/7/2022",2022-08-09
"PINE","44.3 %","41.6 %","14.6 %","Male","8/7/2022",2022-08-09
"PIPESTONE","59 %","55.8 %","16.4 %","Female","8/7/2022",2022-08-09
"PIPESTONE","51.5 %","47.5 %","11.6 %","Male","8/7/2022",2022-08-09
"POLK","59.9 %","56.8 %","19.6 %","Female","8/7/2022",2022-08-09
"POLK","51.9 %","48.5 %","15.4 %","Male","8/7/2022",2022-08-09
"POPE","63.5 %","61.3 %","26.6 %","Female","8/7/2022",2022-08-09
"POPE","54.9 %","51.8 %","19.5 %","Male","8/7/2022",2022-08-09
"RAMSEY","78.9 %","74.4 %","40.9 %","Female","8/7/2022",2022-08-09
"RAMSEY","74.2 %","69.3 %","34.3 %","Male","8/7/2022",2022-08-09
"RED LAKE","61.1 %","58.8 %","16.4 %","Female","8/7/2022",2022-08-09
"RED LAKE","55.5 %","52.5 %","13.5 %","Male","8/7/2022",2022-08-09
"REDWOOD","60 %","57.9 %","21.6 %","Female","8/7/2022",2022-08-09
"REDWOOD","53.8 %","51.5 %","17.3 %","Male","8/7/2022",2022-08-09
"RENVILLE","59.7 %","57.4 %","21.2 %","Female","8/7/2022",2022-08-09
"RENVILLE","52.8 %","50.4 %","16.2 %","Male","8/7/2022",2022-08-09
"RICE","69.9 %","66.5 %","32.3 %","Female","8/7/2022",2022-08-09
"RICE","61.7 %","58.2 %","25.1 %","Male","8/7/2022",2022-08-09
"ROCK","57.3 %","54.1 %","18.9 %","Female","8/7/2022",2022-08-09
"ROCK","49.3 %","45.4 %","14.8 %","Male","8/7/2022",2022-08-09
"ROSEAU","55.9 %","53.8 %","17.2 %","Female","8/7/2022",2022-08-09
"ROSEAU","50.8 %","48.3 %","13.1 %","Male","8/7/2022",2022-08-09
"SCOTT","77.5 %","73.8 %","33.7 %","Female","8/7/2022",2022-08-09
"SCOTT","70.9 %","67 %","27.4 %","Male","8/7/2022",2022-08-09
"SHERBURNE","59.6 %","57.1 %","23 %","Female","8/7/2022",2022-08-09
"SHERBURNE","50.9 %","48.1 %","17.3 %","Male","8/7/2022",2022-08-09
"SIBLEY","60.2 %","58.2 %","20.4 %","Female","8/7/2022",2022-08-09
"SIBLEY","50.7 %","48.1 %","15.1 %","Male","8/7/2022",2022-08-09
"ST. LOUIS","72.4 %","69.1 %","35.1 %","Female","8/7/2022",2022-08-09
"ST. LOUIS","66.5 %","62.7 %","28.4 %","Male","8/7/2022",2022-08-09
