"County","Percent with at least one dose","Percent with completed vaccine series","Percent up to date with vaccine doses","Age group","reportedDate","webDate"
"AITKIN","83.1 %","80.8 %","42 %","65+","9/26/2022",2022-09-28
"BROWN","95.7 %","94.4 %","54.9 %","65+","9/26/2022",2022-09-28
"ANOKA","93.8 %","91.1 %","62.2 %","65+","9/26/2022",2022-09-28
"MCLEOD","90.7 %","87.9 %","50.6 %","65+","9/26/2022",2022-09-28
"BECKER","92.7 %","89.3 %","47.7 %","65+","9/26/2022",2022-09-28
"REDWOOD","81.6 %","80 %","37.6 %","65+","9/26/2022",2022-09-28
"BELTRAMI","92.5 %","90.2 %","54.4 %","65+","9/26/2022",2022-09-28
"RENVILLE","85.6 %","83.2 %","43.9 %","65+","9/26/2022",2022-09-28
"BENTON","81.1 %","78.5 %","41.8 %","65+","9/26/2022",2022-09-28
"WILKIN","89.4 %","86.1 %","40.3 %","65+","9/26/2022",2022-09-28
"BIG STONE","89.2 %","88.4 %","46.4 %","65+","9/26/2022",2022-09-28
"WRIGHT","97.1 %","93.9 %","56.5 %","65+","9/26/2022",2022-09-28
"BLUE EARTH","98 %","98 %","72.7 %","65+","9/26/2022",2022-09-28
"DODGE","88.8 %","87.2 %","56.4 %","65+","9/26/2022",2022-09-28
"CARLTON","97.9 %","94.7 %","61.8 %","65+","9/26/2022",2022-09-28
"KANABEC","81.6 %","79.5 %","43.5 %","65+","9/26/2022",2022-09-28
"CARVER","98 %","98 %","74.5 %","65+","9/26/2022",2022-09-28
"RAMSEY","98 %","95.5 %","77.3 %","65+","9/26/2022",2022-09-28
"CASS","89.2 %","86.2 %","48.9 %","65+","9/26/2022",2022-09-28
"CHIPPEWA","86.9 %","84.8 %","45.6 %","65+","9/26/2022",2022-09-28
"CHISAGO","95.4 %","93 %","61.7 %","65+","9/26/2022",2022-09-28
"SCOTT","98 %","98 %","65.9 %","65+","9/26/2022",2022-09-28
"CLAY","93.3 %","90.5 %","52.1 %","65+","9/26/2022",2022-09-28
"DOUGLAS","91.6 %","89 %","56.5 %","65+","9/26/2022",2022-09-28
"CLEARWATER","73.8 %","71.9 %","32.2 %","65+","9/26/2022",2022-09-28
"WASHINGTON","98 %","98 %","78.7 %","65+","9/26/2022",2022-09-28
"COOK","98 %","98 %","77 %","65+","9/26/2022",2022-09-28
"ST. LOUIS","95.3 %","93 %","67.1 %","65+","9/26/2022",2022-09-28
"COTTONWOOD","83.2 %","81.6 %","39.6 %","65+","9/26/2022",2022-09-28
"ROCK","89.9 %","87.2 %","42.8 %","65+","9/26/2022",2022-09-28
"CROW WING","92.3 %","89.5 %","53.7 %","65+","9/26/2022",2022-09-28
"NOBLES","87.6 %","85.6 %","40.5 %","65+","9/26/2022",2022-09-28
"DAKOTA","98 %","98 %","76.6 %","65+","9/26/2022",2022-09-28
"YELLOW MEDICINE","86.1 %","84 %","44.9 %","65+","9/26/2022",2022-09-28
"FARIBAULT","86.8 %","85.3 %","48.8 %","65+","9/26/2022",2022-09-28
"LYON","94.7 %","92.4 %","47.9 %","65+","9/26/2022",2022-09-28
"FILLMORE","96.1 %","94.7 %","55.5 %","65+","9/26/2022",2022-09-28
"MAHNOMEN","90.7 %","88.8 %","35.9 %","65+","9/26/2022",2022-09-28
"FREEBORN","86.7 %","84.7 %","55.1 %","65+","9/26/2022",2022-09-28
"POPE","87.4 %","84.8 %","55 %","65+","9/26/2022",2022-09-28
"GOODHUE","97.6 %","95.6 %","67.3 %","65+","9/26/2022",2022-09-28
"NICOLLET","95.4 %","93.6 %","64.4 %","65+","9/26/2022",2022-09-28
"GRANT","81.9 %","79.6 %","38.1 %","65+","9/26/2022",2022-09-28
"OLMSTED","98 %","98 %","78.7 %","65+","9/26/2022",2022-09-28
"HENNEPIN","98 %","97.3 %","79.5 %","65+","9/26/2022",2022-09-28
"STEARNS","90 %","87.3 %","54.3 %","65+","9/26/2022",2022-09-28
