,Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Georeferenced Latitude & Longitude
0,GIANT PHARMACY-6471,86 GLOCKER WAY,POTTSTOWN,PA,19465,Chester,0,1,0,12,1349,0,POINT (-75.657585 40.208874)
1,,,,,,,0,0,0,0,0,0,
2,GIANT PHARMACY-6336,3926 LINDEN STREET,BETHLEHEM,PA,18020,Northampton,29,0,0,62,2149,75,POINT (-75.344906 40.674166)
3,My Health Center at Lowes Pottsville,1201 Keystone Blvd. My Health Center,Pottsville,Pennsylvania,17901,Schuylkill,0,0,0,0,6,0,
4,Indiana University of PA Health Service,901 Maple Street,Indiana,Pennsylvania,15705,Indiana,0,0,0,64,0,0,POINT (-79.157875 40.614684)
5,Reading Opportunity Center for Children,Reading HS 801 N 13th Street,Reading,Pennsylvania,19604,Berks,0,0,0,0,16,0,
6,Pharmerica-KOP,489 Shoemaker Rd,King of Prussia,Pennsylvania,19406,Montgomery,0,0,0,0,8,0,POINT (-75.353077 40.082452)
7,Clarion Pharmacy,30 Pinnacle Drive,Clarion,Pennsylvania,16214,Clarion,0,0,0,0,4,0,
8,Warren State Hospital-Employee Health,33 Main Dr.,Warren,Pennsylvania,16365,Warren,0,1,0,0,0,0,POINT (-79.141997 41.879427)
9,Susq Community Health and Dental Cente,471 Hepburn Street,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,40,0,0,POINT (-77.006961 41.241842)
10,Penn State Health St Joseph Med Center,2500 BERNVILLE RD PHARMACY,Reading,Pennsylvania,19605,Berks,11,0,0,20,0,0,POINT (-75.977661 40.376717)
11,Fresenius Kidney Care South Allentown,2820 Mitchell Ave.,Allentown,Pennsylvania,18103,Lehigh,0,0,0,5,0,0,POINT (-75.481033 40.560689)
12,Fresenius Kidney Care (FKC) Chadds Ford,291 Wilmington West Chester Pike,Chadds Ford,Pennsylvania,19317,Delaware,0,0,0,2,0,0,POINT (-75.540653 39.853872)
13,Comm Health and Dental-Robinson St,351 W Schuylkill Ave,Pottstown,Pennsylvania,19465,Chester,0,0,0,29,7,10,POINT (-75.662171 40.233362)
14,Broad Top Area Med Center-Mount Union,95 South Park Street,Mount Union,Pennsylvania,17066,Huntingdon,0,0,0,21,45,0,POINT (-77.880361 40.381921)
15,Family First Health-Hannah Penn Center,415 East Boundary Avenue,York,Pennsylvania,17403,York,0,6,0,0,0,0,POINT (-76.715296 39.957204)
16,North Penn Comprehensive Health Services,7 Water St,Wellsboro,Pennsylvania,16901,Tioga,0,0,0,0,50,0,POINT (-77.301143 41.749471)
17,PHN-Shamokin Community Health Center,531 North Franklin Street,Shamokin,Pennsylvania,17872,Northumberland,0,0,0,0,79,0,POINT (-76.550305 40.791462)
18,Medi-Rx Pharmacy Inc,6401 Olde Stone Crossing,Poland,Ohio,44514,Mahoning,0,0,0,0,2,0,POINT (-80.588191 41.024818)
19,LVPG Family Medicine-Schuylkill Med Plz,200 Schuylkill Medical Plaza,Pottsville,Pennsylvania,17901,Schuylkill,0,0,0,1,2,0,POINT (-76.188817 40.68179)
20,FPC-Lewisburg Family Practice Center,131 JPM Road Suite A,Lewisburg,Pennsylvania,17837,Union,0,0,0,0,15,0,POINT (-76.891814 40.976035)
21,Tri-State Community Health Center,525 Fulton Drive,Mc Connellsburg,Pennsylvania,17233,Fulton,0,0,0,1,2,0,POINT (-77.99936 39.924409)
