,Order Date,Clinic Name,Clinic Address,Clinic Suite,Clinic additional Address,Clinic City,Clinic State,Clinic Zip,County Name,Total Pfizer Ordered,Total Moderna Ordered,Total Janssen Ordered,Total Covid Volume Ordered,Georeferenced Latitude & Longitude
0,06/23/2021,Derry Street Pharmacy,1304 Derry St,,,Harrisburg,Pennsylvania,17104,Dauphin,0,100,0,100,POINT (-76.868574 40.263018)
1,10/01/2021,Vybe Bensalem,3626 Street Road,,,Bensalem,Pennsylvania,19020,Bucks,0,560,0,560,POINT (-74.963381 40.126209)
2,05/14/2021,Valley Pharmacy,647 state route 93 hwy,,,Sugarloaf,Pennsylvania,18249,Luzerne,0,100,0,100,
3,08/13/2021,Wellspan Good Samaritan Hospital,252 S 4th Street,,,Lebanon,Pennsylvania,17042,Lebanon,0,140,0,140,POINT (-76.41735 40.336018)
4,08/13/2021,Fulton County Medical Center,Fulton County Medical Center,,214 Peach Orchard Road,MC CONNELLSBURG,PA,172338559,Fulton,0,140,0,140,
5,08/09/2021,Tri Cty Hth and Wellness Ctr,507 Kimberton Rd,,,Phoenixville,Pennsylvania,19460,Chester,0,140,0,140,POINT (-75.547056 40.129625)
6,08/10/2021,EAST NORRITON PHARMACY,215 W GERMANTOWN PIKE,,,East Norriton,Pennsylvania,19401,Montgomery,0,140,0,140,POINT (-75.323482 40.146344)
7,08/10/2021,Vybe Bensalem,3626 Street Road,,,Bensalem,Pennsylvania,19020,Bucks,0,140,0,140,POINT (-74.963381 40.126209)
8,08/11/2021,Wellspan York Hospital,1001 S .George,Pharmacy,,York,Pennsylvania,17405,York,2250,0,0,2250,POINT (-76.720535 39.946668)
9,08/12/2021,VDI-Williams Valley Pharmacy,226 East Grand Avenue,,,Tower City,PA,17980,Schuylkill,0,140,0,140,POINT (-76.556437 40.588623)
10,08/09/2021,Lepri Rne Inc DBA The Md Shopp 0874,2239 Pittston Ave.,,,Scranton,Pennsylvania,18505,Lackawanna,0,280,0,280,POINT (-75.681293 41.384806)
11,10/06/2021,Exton Pharmacy at Marchood,1 Marchood Rd,,,Exton,Pennsylvania,19341,Chester,0,0,100,100,POINT (-75.639435 40.04787)
12,11/22/2021,VDI-Blandon Pharmacy,104 Anna Ave,6,,Blandon,Pennsylvania,19510,Berks,0,0,100,100,POINT (-75.868489 40.44312)
13,08/13/2021,Keystone Community Health Services,111 Chambers Hill Drive,Suite 102,,Chambersburg,Pennsylvania,17201,Franklin,0,280,0,280,
14,08/10/2021,Harrolds Pharmacy,250 Old River Road,,,Wilkes Barre,Pennsylvania,18702,Luzerne,0,140,0,140,POINT (-75.907849 41.241791)
15,08/12/2021,State College Family Medicine,2188 Sandy Dr,A,,State College,Pennsylvania,16803,Centre,0,140,0,140,POINT (-77.901296 40.782338)
16,08/11/2021,Centerville Clinics-Washington,37 HIGHLAND AVE,,,Washington,Pennsylvania,15301,Washington,0,140,0,140,POINT (-80.244837 40.174671)
17,08/13/2021,Holy Redeemer Hosp and Med Cntr,1648 Huntingdon Pike,,Attn: Pharmacy Dept,Meadowbrook,Pennsylvania,19046,Montgomery,0,420,0,420,POINT (-75.081101 40.108944)
18,08/12/2021,Martin Drugs Incorporated,627 S. Chester Road,,,Swarthmore,Pennsylvania,19081,Delaware,0,140,0,140,POINT (-75.353599 39.890698)
19,08/13/2021,Hamilton Health Center,110 South 17th Street,,,Harrisburg,Pennsylvania,17104,Dauphin,0,140,0,140,POINT (-76.863982 40.265624)
20,08/12/2021,Hyde Drug Store,2412 Wilmington Rd,,,New Castle,Pennsylvania,16105,Lawrence,0,140,0,140,POINT (-80.353731 41.026174)
21,08/11/2021,SCI-Coal Township,1 Kelley Dr,,,Coal Township,Pennsylvania,17866,Northumberland,0,560,0,560,POINT (-76.555486 40.805884)
22,08/09/2021,EMS Medical Management Inc,1000 N. Gravel Pike,Suite 100,,Schwenksville,Pennsylvania,19473,Montgomery,0,560,0,560,POINT (-75.467361 40.268)
23,08/10/2021,Adagio Health-Indiana,1097 Oak Street,,,Indiana,Pennsylvania,15701,Indiana,0,140,0,140,POINT (-79.159986 40.625771)
24,08/12/2021,PHN Tri Cty Com Hlth Ctr,1555 Shawna Road,,,Cherry Tree,Pennsylvania,15724,Cambria,0,140,0,140,POINT (-78.799345 40.716831)
25,08/12/2021,Delta Medix PC,300 Lackawanna Avenue,200,,Scranton,Pennsylvania,18503,Lackawanna,0,420,0,420,POINT (-75.667364 41.408249)
26,08/12/2021,KeystoneCare Health LLC,8765 Stenton Ave.,,,Wyndmoor,Pennsylvania,19038,Montgomery,0,140,0,140,POINT (-75.205312 40.082381)
27,08/11/2021,MacDonalds Pharmacy,214 Peach Orchard Road,,,Mc Connellsburg,Pennsylvania,17233,Fulton,0,140,0,140,POINT (-78.009 39.936716)
28,08/10/2021,MARTINS PHARMACY-6012,2032 E PLEASANT VLY BLVD,,,ALTOONA,PA,16602,Blair,0,280,0,280,POINT (-78.339635 40.562816)
29,08/13/2021,Bensalem Pharmacy,2112 Street Road,,,Bensalem,Pennsylvania,19020,Bucks,0,280,0,280,POINT (-74.947868 40.099555)
30,08/11/2021,Centro De Salud Latino Americano,17th & Chew St,403,,Allentown,Pennsylvania,18104,Lehigh,0,560,0,560,
