,Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Georeferenced Latitude & Longitude
0,WellSpan Pharmacy-Ephrata,183 N. Reading Road,Ephrata,Pennsylvania,17522,Lancaster,0,0,0,47,4,22,POINT (-76.1821 40.188381)
1,Pechin Pharmacy,6 Zia Maria Way,Connellsville,Pennsylvania,15425,Fayette,0,0,0,0,1855,539,
2,GIANT PHARMACY-6105,350 SCARLET ROAD,KENNETT SQUARE,PA,19348,Chester,0,0,0,180,1355,987,POINT (-75.730009 39.840279)
3,,,,,,,0,0,0,0,0,0,
4,CHOP Care Network-High Point,100 Manor Dr,Chalfont,Pennsylvania,18914,Bucks,0,0,0,0,1206,0,
5,WellSpan Fam Med-Stony Brook,4222 Lincoln Hwy,York,PA,17406,York,0,0,0,0,60,0,POINT (-76.6304 39.996389)
6,My Health Center at Lowes Pottsville,1201 Keystone Blvd. My Health Center,Pottsville,Pennsylvania,17901,Schuylkill,0,0,0,0,6,0,
7,Indiana University of PA Health Service,901 Maple Street,Indiana,Pennsylvania,15705,Indiana,0,0,0,64,0,0,POINT (-79.157875 40.614684)
8,Reading Opportunity Center for Children,Reading HS 801 N 13th Street,Reading,Pennsylvania,19604,Berks,0,0,0,0,16,0,
9,Pharmerica-KOP,489 Shoemaker Rd,King of Prussia,Pennsylvania,19406,Montgomery,0,0,0,0,8,0,POINT (-75.353077 40.082452)
10,AHN Primary Care Butler,103 Technology Dr,Butler,Pennsylvania,16001,Butler,0,0,0,0,19,18,POINT (-79.968814 40.865485)
11,Clarion Pharmacy,30 Pinnacle Drive,Clarion,Pennsylvania,16214,Clarion,0,0,0,0,4,0,
12,Warren State Hospital-Employee Health,33 Main Dr.,Warren,Pennsylvania,16365,Warren,0,1,0,0,0,0,POINT (-79.141997 41.879427)
13,Susq Community Health and Dental Cente,471 Hepburn Street,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,40,0,0,POINT (-77.006961 41.241842)
14,Penn State Health St Joseph Med Center,2500 BERNVILLE RD PHARMACY,Reading,Pennsylvania,19605,Berks,11,0,0,20,0,0,POINT (-75.977661 40.376717)
15,Fresenius Kidney Care South Allentown,2820 Mitchell Ave.,Allentown,Pennsylvania,18103,Lehigh,0,0,0,5,0,0,POINT (-75.481033 40.560689)
16,Fresenius Kidney Care (FKC) Chadds Ford,291 Wilmington West Chester Pike,Chadds Ford,Pennsylvania,19317,Delaware,0,0,0,2,0,0,POINT (-75.540653 39.853872)
17,St. Lukes Uni  Hlth Network Lehigh,GNADEN HUETTEN HOSPITAL PHARMACY DEP 211 NORTH 12TH STREET,Lehighton,Pennsylvania,18235,Carbon,0,0,0,40,99,489,
18,Comm Health and Dental-Robinson St,351 W Schuylkill Ave,Pottstown,Pennsylvania,19465,Chester,0,0,0,29,7,10,POINT (-75.662171 40.233362)
19,Broad Top Area Med Center-Mount Union,95 South Park Street,Mount Union,Pennsylvania,17066,Huntingdon,0,0,0,21,45,0,POINT (-77.880361 40.381921)
20,Genoa Healthcare 20336,245 Race Street,Somerset,Pennsylvania,15501,Somerset,0,0,0,53,39,0,POINT (-79.075074 40.005761)
21,Advocare Childrens Medic Assoc,1510 Chester Pike,Eddystone,Pennsylvania,19022,Delaware,0,0,0,0,22,0,POINT (-75.337073 39.863887)
22,SCI-Waymart,PO Box 256,Waymart,Pennsylvania,18472,Wayne,0,0,0,0,398,0,
23,Lawrenceville Laurel Health Center,32 East Lawrence Road,Lawrenceville,Pennsylvania,16929,Tioga,0,0,0,0,149,0,POINT (-77.035276 41.990534)
24,LGH-County Line Family Medicine,5360 Lincoln Highway,Gap,Pennsylvania,17527,Lancaster,0,0,1,8,17,0,POINT (-76.017882 39.991649)
25,UPMC-SMFHC-Bloomfield Garfield,5475 Penn Avenue,Pittsburgh,Pennsylvania,15206,Allegheny,0,0,0,13,1511,0,POINT (-79.933383 40.464444)
26,CCP-UNIONTOWN,140 Wayland Smith Drive,Uniontown,Pennsylvania,15401,Fayette,0,0,0,6,54,0,POINT (-79.753914 39.912479)
27,Einstein Medical Center Montgomery,EMCM PHARMACY 559 W GERMANTOWN PIKE,East Norriton,Pennsylvania,19403,Montgomery,0,0,0,20,0,390,
28,Family First Health-Hannah Penn Center,415 East Boundary Avenue,York,Pennsylvania,17403,York,0,6,0,0,0,0,POINT (-76.715296 39.957204)
29,North Penn Comprehensive Health Services,7 Water St,Wellsboro,Pennsylvania,16901,Tioga,0,0,0,0,50,0,POINT (-77.301143 41.749471)
30,PHN-Shamokin Community Health Center,531 North Franklin Street,Shamokin,Pennsylvania,17872,Northumberland,0,0,0,0,79,0,POINT (-76.550305 40.791462)
31,Medi-Rx Pharmacy Inc,6401 Olde Stone Crossing,Poland,Ohio,44514,Mahoning,0,0,0,0,2,0,POINT (-80.588191 41.024818)
32,LVPG Family Medicine-Schuylkill Med Plz,200 Schuylkill Medical Plaza,Pottsville,Pennsylvania,17901,Schuylkill,0,0,0,1,2,0,POINT (-76.188817 40.68179)
33,Tri-State Community Health Center,525 Fulton Drive,Mc Connellsburg,Pennsylvania,17233,Fulton,0,0,0,1,2,0,POINT (-77.99936 39.924409)
34,Wellness Family Pharmacy,3250 Chichester ave,Boothwyn,Pennsylvania,19061,Delaware,0,0,0,0,9433,104,POINT (-75.442314 39.836868)
35,FPC-Lewisburg Family Practice Center,131 JPM Road Suite A,Lewisburg,Pennsylvania,17837,Union,0,0,0,0,15,0,POINT (-76.891814 40.976035)
36,Primemed-Dr. Patrick Connors,2232 Pittston Ave,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,46,33,0,POINT (-75.681141 41.384922)
37,PHN-Tri-County Community Health Center,1555 Shawna Road,Cherry Tree,Pennsylvania,15724,Cambria,0,0,0,12,3,0,POINT (-78.799345 40.716831)
38,Wright Ctr for Com Hlth Scranton Prac,501 S Washington Avenue,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,0,9,0,POINT (-75.67015 41.402072)
39,Hilltop Pharmacy,818 E. Warrington Ave,Pittsburgh,Pennsylvania,15210,Allegheny,0,0,0,0,1661,70,POINT (-79.992935 40.421802)
40,SLUHHN-Bethlehem,801 OSTRUM ST Attn: Inpatient Pharmacy,Bethlehem (Part-Lehigh),Pennsylvania,18015,Northampton,5,3,1,466,48,250,POINT (-75.392507 40.608697)
41,Pittsburgh General Med Assoc,1307 Federal Street 3rd Floor,Pittsburgh,Pennsylvania,15212,Allegheny,0,0,0,9,288,0,POINT (-80.007128 40.457006)
42,AHOLD USA-GIANT PHARMACY 6011,2450 CHEMICAL ROAD,PLYMOUTH MEETING,PA,19462,Montgomery,0,0,0,4,2215,0,POINT (-75.292319 40.101773)
43,Family Practice Center Williamsport,1205 River Avenue 1st Floor,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,0,42,0,POINT (-76.981391 41.252539)
44,CHOP Care Network-Chadds Ford,1766 Wilmington Pike,Glen Mills,Pennsylvania,19342,Delaware,0,0,0,0,1675,0,POINT (-75.544689 39.873551)
45,The Medicine Shoppe-York,1698 S QUEEN ST,York,Pennsylvania,17403,York,0,0,0,0,2176,176,POINT (-76.705379 39.942899)
46,FCCC-East Norriton,2701 Dekalb Pike Fox Chase Cancer Center,Norristown,Pennsylvania,19401,Montgomery,0,0,0,6,2,140,
47,Holly Pharmacy,31 N. Baltimore Avenue,Mount Holly Springs,Pennsylvania,17065,Cumberland,0,0,0,0,0,400,POINT (-77.189178 40.115324)
48,Lepri Ruane Inc DBA The Md Shopp 0874,2239 Pittston Ave.,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,0,94,0,POINT (-75.681293 41.384806)
49,GIANT PHARMACY-6443,925 NORLAND AVENUE,CHAMBERSBURG,PA,17201,Franklin,0,1,0,13,443,0,POINT (-77.6307 39.940982)
50,AHN St Vincent Fam Medic Ctr,311 West 24th Street,Erie,Pennsylvania,16502,Erie,0,0,0,0,2,0,POINT (-80.0814 42.111191)
51,Highlnds Hlth Laurel Highlnds Free Cha,"315 Locust St, 2nd Floor",Johnstown,Pennsylvania,15901,Cambria,0,0,0,0,464,0,POINT (-78.920587 40.327188)
52,LGH-Abbeyville Family Medicine,101 Abbeyville Road,Lancaster,Pennsylvania,17603,Lancaster,0,0,0,2,86,56,POINT (-76.335502 40.035576)
53,LGH-WALTER L. AUMENT FAMILY HC,317  Chestnut Street,Quarryville,Pennsylvania,17566,Lancaster,0,0,0,0,15,0,POINT (-76.169728 39.892618)
54,Tri Cty Hth and Wellness Ctr,507 Kimberton Rd,Phoenixville,Pennsylvania,19460,Chester,0,0,0,110,504,71,POINT (-75.547056 40.129625)
55,CCP Heritage,3720 Market St,Camp Hill,Pennsylvania,17011,Cumberland,0,0,0,0,191,66,POINT (-76.945804 40.238907)
56,VDI-First National Pharmacy,143 N First Street,Lehighton,Pennsylvania,18235,Carbon,0,0,3,0,0,120,POINT (-75.708869 40.835262)
57,15toknow,250 Mall Blvd,King of Prussia,Pennsylvania,19406,Montgomery,0,0,0,0,295,3466,POINT (-75.390941 40.090833)
58,Allentown Health Bureau,245 North 6th Street Alliance Hall,Allentown,Pennsylvania,18102,Lehigh,4,0,0,282,4467,431,
