,County,FirstDose,PercentFirstDose,txtPercentFirstDose,SecondDose,PercentSecondDose,txtPercentSecondDose,SingleDose,PercentSingleDose,txtPercentSingleDose,AtLeastOneVaccine,PercentAtLeastOneVaccine,txtPercentAtLeastOneVaccine,FullyVaccinated,PercentFullyVaccinated,txtPercentFullyVaccinated
0,Allegany,30675,43.563,43.563,28176,40.014,40.014,3461,4.915,4.915,34136.0,48.478,48.478,31637.0,44.928999999999995,44.928999999999995
1,Anne Arundel,354754,61.245,61.245,329079,56.813,56.813,24919,4.302,4.302,379673.0,65.547,65.547,353998.0,61.115,61.115
2,Baltimore,506307,61.195,61.195,470400,56.855,56.855,36970,4.468,4.468,543277.0,65.663,65.663,507370.0,61.323,61.323
3,Baltimore City,334393,56.343,56.343,301284,50.765,50.765,21505,3.623,3.623,355898.0,59.967,59.967,322789.0,54.388000000000005,54.388000000000005
4,Calvert,54100,58.471000000000004,58.471000000000004,49806,53.83,53.83,3875,4.188,4.188,57975.0,62.659,62.659,53681.0,58.018,58.018
5,Caroline,14540,43.525,43.525,13399,40.11,40.11,3156,9.447000000000001,9.447000000000001,17696.0,52.973,52.973,16555.0,49.556999999999995,49.556999999999995
6,Carroll,100983,59.949,59.949,95356,56.608999999999995,56.608999999999995,10272,6.098,6.098,111255.0,66.047,66.047,105628.0,62.707,62.707
7,Cecil,47442,46.125,46.125,43503,42.295,42.295,3821,3.715,3.715,51263.0,49.84,49.84,47324.0,46.01,46.01
8,Charles,89838,55.028999999999996,55.028999999999996,82018,50.239,50.239,5424,3.322,3.322,95262.0,58.351000000000006,58.351000000000006,87442.0,53.56100000000001,53.56100000000001
9,Dorchester,15538,48.663999999999994,48.663999999999994,14123,44.233000000000004,44.233000000000004,2278,7.135,7.135,17816.0,55.799,55.799,16401.0,51.367,51.367
10,Frederick,157182,60.56,60.56,146973,56.626999999999995,56.626999999999995,17001,6.55,6.55,174183.0,67.11,67.11,163974.0,63.177,63.177
11,Garrett,11896,41.001000000000005,41.001000000000005,10877,37.489000000000004,37.489000000000004,970,3.343,3.343,12866.0,44.343999999999994,44.343999999999994,11847.0,40.832,40.832
12,Harford,146278,57.265,57.265,136882,53.586999999999996,53.586999999999996,13464,5.271,5.271,159742.0,62.536,62.536,150346.0,58.857,58.857
13,Howard,233611,71.72800000000001,71.72800000000001,220361,67.66,67.66,14582,4.477,4.477,248193.0,76.205,76.205,234943.0,72.137,72.137
14,Kent,11453,58.968999999999994,58.968999999999994,10646,54.81399999999999,54.81399999999999,978,5.0360000000000005,5.0360000000000005,12431.0,64.005,64.005,11624.0,59.85,59.85
15,Montgomery,733227,69.785,69.785,677305,64.46300000000001,64.46300000000001,47044,4.477,4.477,780271.0,74.263,74.263,724349.0,68.94,68.94
16,Prince George's,519131,57.09,57.09,463354,50.956,50.956,30467,3.35,3.35,549598.0,60.44,60.44,493821.0,54.306000000000004,54.306000000000004
17,Queen Anne's,28240,56.053000000000004,56.053000000000004,26377,52.355,52.355,2642,5.244,5.244,30882.0,61.297,61.297,29019.0,57.599,57.599
18,St. Mary's,58952,51.93600000000001,51.93600000000001,54595,48.097,48.097,3678,3.24,3.24,62630.0,55.176,55.176,58273.0,51.336999999999996,51.336999999999996
19,Somerset,11055,43.157,43.157,9797,38.246,38.246,1134,4.427,4.427,12189.0,47.583999999999996,47.583999999999996,10931.0,42.673,42.673
20,Talbot,22659,60.942,60.942,21032,56.567,56.567,3017,8.113999999999999,8.113999999999999,25676.0,69.057,69.057,24049.0,64.681,64.681
21,Washington,66855,44.26,44.26,61424,40.665,40.665,11435,7.57,7.57,78290.0,51.831,51.831,72859.0,48.235,48.235
22,Wicomico,48783,47.083999999999996,47.083999999999996,44811,43.25,43.25,4241,4.093,4.093,53024.0,51.177,51.177,49052.0,47.343,47.343
23,Worcester,31908,61.038000000000004,61.038000000000004,29411,56.261,56.261,2682,5.13,5.13,34590.0,66.168,66.168,32093.0,61.391000000000005,61.391000000000005
24,Unknown,343612,,,273358,,,35995,,,379607.0,,,309353.0,,
