,Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Georeferenced Latitude & Longitude
0,Boswell Pharmacy Services,131 Schoolhouse Rd. PO Box 266,Jennerstown,Pennsylvania,15547,Somerset,5,4,0,209,2,140,
1,Valley Pharmacy,647 state route 93 hwy,Sugarloaf,Pennsylvania,18249,Luzerne,0,0,0,0,987,4670,
2,WellSpan Pharmacy-Ephrata,183 N. Reading Road,Ephrata,Pennsylvania,17522,Lancaster,0,0,0,47,4,22,POINT (-76.1821 40.188381)
3,GHS-BRADFORD,116 INSTERSTATE PARKWAY,BRADFORD,PENNSYLVANIA,16701,McKean,0,0,1,344,65,120,
4,SLUHN-Carbon Campus,500 St. Luke's Drive,Lehighton,Pennsylvania,18235,Carbon,0,0,0,46,50,0,
5,,,,,,,0,0,0,0,0,0,
6,VDI-Millers Pharmacy,Rt 6 Farm and home plaza,Wyalusing,Pennsylvania,18853,Bradford,0,0,0,55,3,3,
7,GIANT PHARMACY-6117,10 NEWPORT ROAD,LEOLA,PA,17540,Lancaster,0,0,0,96,732,210,POINT (-76.190375 40.087067)
8,GIANT PHARMACY-6484,1605 LITITZ PIKE,LANCASTER,PA,17601,Lancaster,0,0,0,0,1547,276,POINT (-76.307281 40.067666)
9,ALMA ILLERY MEDICAL CENTER,7227 HAMILTON AVE,Pittsburgh,Pennsylvania,15208,Allegheny,0,0,0,110,364,78,POINT (-79.896792 40.454465)
10,My Health Center at Lowes Pottsville,1201 Keystone Blvd. My Health Center,Pottsville,Pennsylvania,17901,Schuylkill,0,0,0,0,6,0,
11,Einstein Medical Center Montgomery,559 W Germantown Pike EMCM Pharmacy,East Norriton,Pennsylvania,19403,Montgomery,0,0,0,20,0,1469,POINT (-75.345017 40.151309)
12,Albion Pharmacy,9 East State Street,Albion,Pennsylvania,16401,Erie,0,0,0,0,825,0,POINT (-80.365963 41.890903)
13,Indiana University of PA Health Service,901 Maple Street,Indiana,Pennsylvania,15705,Indiana,0,0,0,64,0,0,POINT (-79.157875 40.614684)
14,Main Line Health-Paoli Hospital,255 W LANCASTER AVE,Paoli,Pennsylvania,19301,Chester,0,0,0,37,48,30,POINT (-75.499846 40.042102)
15,Freeland Health Center,404 Ridge Street,Freeland,Pennsylvania,18224,Luzerne,0,0,0,11,89,260,POINT (-75.898586 41.015579)
16,Reading Opportunity Center for Children,Reading HS 801 N 13th Street,Reading,Pennsylvania,19604,Berks,0,0,0,0,16,0,
17,Troy Laurel Health Center,45 Mudcreek Rd,Troy,Pennsylvania,16947,Bradford,0,0,0,43,82,0,POINT (-76.791918 41.750616)
18,Pharmerica-KOP,489 Shoemaker Rd,King of Prussia,Pennsylvania,19406,Montgomery,0,0,0,0,8,0,POINT (-75.353077 40.082452)
19,AHN Primary Care Butler,103 Technology Dr,Butler,Pennsylvania,16001,Butler,0,0,0,0,19,18,POINT (-79.968814 40.865485)
20,Clarion Pharmacy,30 Pinnacle Drive,Clarion,Pennsylvania,16214,Clarion,0,0,0,0,4,0,
21,UPMC-Somerset,225 South Center Ave,Somerset,Pennsylvania,15501,Somerset,0,0,0,226,289,199,POINT (-79.078598 40.007068)
22,Bradford County SHC,142 Colonial Drive,Towanda,Pennsylvania,18848,Bradford,0,0,0,45,2,0,POINT (-76.452864 41.782289)
23,Warren State Hospital-Employee Health,33 Main Dr.,Warren,Pennsylvania,16365,Warren,0,1,0,0,0,0,POINT (-79.141997 41.879427)
24,VDI-Brockway Drug Co Inc,1365 Main Street,Brockway,Pennsylvania,15824,Jefferson,0,0,0,42,2,0,POINT (-78.787066 41.246948)
25,Susq Community Health and Dental Cente,471 Hepburn Street,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,40,0,0,POINT (-77.006961 41.241842)
26,Lancaster Pediatric Associates,2106 Harrisburg Pike,Lancaster,Pennsylvania,17601,Lancaster,1,0,0,36,105,20,POINT (-76.35333 40.066979)
27,The Medicine Shoppe-Clarion,100 Liberty St,Clarion,Pennsylvania,16214,Clarion,0,0,0,0,331,0,POINT (-79.392015 41.218667)
28,Penn State Health St Joseph Med Center,2500 BERNVILLE RD PHARMACY,Reading,Pennsylvania,19605,Berks,11,0,0,20,0,0,POINT (-75.977661 40.376717)
29,WMCHC Carbondale Fam Hlth Cntr,141 Salem Avenue,Carbondale,Pennsylvania,18407,Lackawanna,0,0,0,0,82,0,POINT (-75.496897 41.571066)
30,AHN-SVMG Albion Family Practice,155 East State Street,Albion,Pennsylvania,16401,Erie,2,0,0,0,40,90,POINT (-80.36066 41.890918)
31,MedsPack LLC,5006 E Trindle Road,Mechanicsburg,Pennsylvania,17050,Cumberland,0,0,0,0,305,434,POINT (-76.970687 40.225635)
32,Reliant Care Solutions,403 S. Oxford Valley Road,Fairless Hills,Pennsylvania,19030,Bucks,0,0,0,26,0,80,POINT (-74.853987 40.173006)
33,Symbria Rx Great Lakes South LLC,1596 Hancock Avenue,Apollo (Part-Armstrong),Pennsylvania,15613,Armstrong,0,0,0,778,114,1475,POINT (-79.570446 40.576025)
34,AHN-SVMG Edinboro Medical Center,450 Erie Street,Edinboro,Pennsylvania,16412,Erie,0,0,0,48,33,0,POINT (-80.128347 41.882091)
35,Pleasant Valley Manor Nursing Home,4227 Manor Drive,Stroudsburg,Pennsylvania,18360,Monroe,0,0,0,0,164,10,POINT (-75.288015 40.949577)
36,Rx Partners,500 Old Pond Road,Bridgeville,Pennsylvania,15017,Allegheny,10,0,0,143,440,897,POINT (-80.119442 40.353441)
37,Fresenius Kidney Care South Allentown,2820 Mitchell Ave.,Allentown,Pennsylvania,18103,Lehigh,0,0,0,5,0,0,POINT (-75.481033 40.560689)
38,VDI-Mainline Pharm Twp Davidsville,118 North Main Street,Davidsville,Pennsylvania,15928,Somerset,0,0,0,0,399,5357,POINT (-78.936009 40.227897)
39,Fresenius Kidney Care (FKC) Chadds Ford,291 Wilmington West Chester Pike,Chadds Ford,Pennsylvania,19317,Delaware,0,0,0,2,0,0,POINT (-75.540653 39.853872)
40,St. Lukes Uni  Hlth Network Lehigh,GNADEN HUETTEN HOSPITAL PHARMACY DEP 211 NORTH 12TH STREET,Lehighton,Pennsylvania,18235,Carbon,0,0,0,40,99,489,
41,FPC Mifflintown Fam Prac Cntr,2813 Industrial Park Road,Mifflintown,Pennsylvania,17059,Juniata,0,0,0,10,186,181,POINT (-77.368389 40.583512)
42,PH-Penn Highlands Huntingdon,1225 Warm Springs Avenue,Huntingdon,Pennsylvania,16652,Huntingdon,0,0,0,100,15,0,POINT (-78.013908 40.493656)
43,Comm Health and Dental-Robinson St,351 W Schuylkill Ave,Pottstown,Pennsylvania,19465,Chester,0,0,0,29,7,10,POINT (-75.662171 40.233362)
44,Broad Top Area Med Center-Mount Union,95 South Park Street,Mount Union,Pennsylvania,17066,Huntingdon,0,0,0,21,45,0,POINT (-77.880361 40.381921)
45,Care Options Rx,219 N Baltimore Ave,Mount Holly Springs,Pennsylvania,17065,Cumberland,0,0,0,0,0,539,POINT (-77.189603 40.117601)
46,GIANT PHARMACY-6535,10000 SHANNONDELL DRIVE,AUDUBON,PA,19403,Montgomery,0,0,0,15,22,210,POINT (-75.410741 40.132428)
47,LGH-County Line Family Medicine,5360 Lincoln Highway,Gap,Pennsylvania,17527,Lancaster,0,0,1,8,17,0,POINT (-76.017882 39.991649)
48,CMU Student Health Services,1060 Morewood Avenue,Pittsburgh,Pennsylvania,15213,Allegheny,0,6,0,141,45,104,POINT (-79.942899 40.44489)
49,Family First Health-Hannah Penn Center,415 East Boundary Avenue,York,Pennsylvania,17403,York,0,6,0,0,0,0,POINT (-76.715296 39.957204)
50,Dialysis Cre Ctr of Mechanicsbrg,4 Flowers Dr,Mechanicsburg,Pennsylvania,17050,Cumberland,0,0,0,458,0,2766,POINT (-77.031955 40.250311)
