,County,FirstDose,PercentFirstDose,txtPercentFirstDose,SecondDose,PercentSecondDose,txtPercentSecondDose,SingleDose,PercentSingleDose,txtPercentSingleDose,AtLeastOneVaccine,PercentAtLeastOneVaccine,txtPercentAtLeastOneVaccine,FullyVaccinated,PercentFullyVaccinated,txtPercentFullyVaccinated
0,Allegany,34648,49.205,49.205,31752,45.092,45.092,3687,5.236,5.236,38335.0,54.441,54.441,35439.0,50.328,50.328
1,Anne Arundel,413318,71.356,71.356,378168,65.288,65.288,27357,4.723,4.723,440675.0,76.079,76.079,405525.0,70.011,70.011
2,Baltimore,590187,71.333,71.333,546657,66.072,66.072,40299,4.871,4.871,630486.0,76.204,76.204,586956.0,70.942,70.942
3,Baltimore City,379040,63.866,63.866,340461,57.366,57.366,24048,4.052,4.052,403088.0,67.918,67.918,364509.0,61.418,61.418
4,Calvert,63785,68.938,68.938,58353,63.067,63.067,4417,4.774,4.774,68202.0,73.712,73.712,62770.0,67.841,67.841
5,Caroline,16397,49.084,49.084,15171,45.414,45.414,3328,9.962,9.962,19725.0,59.046,59.046,18499.0,55.376,55.376
6,Carroll,112857,66.999,66.999,105341,62.537,62.537,10832,6.431,6.431,123689.0,73.429,73.429,116173.0,68.967,68.967
7,Cecil,54063,52.562,52.562,49004,47.644,47.644,4399,4.277,4.277,58462.0,56.839,56.839,53403.0,51.921,51.921
8,Charles,109571,67.116,67.116,98820,60.53,60.53,6021,3.688,3.688,115592.0,70.804,70.804,104841.0,64.218,64.218
9,Dorchester,17378,54.427,54.427,16050,50.268,50.268,2431,7.614,7.614,19809.0,62.041,62.041,18481.0,57.882,57.882
10,Frederick,191671,73.848,73.848,176542,68.019,68.019,18746,7.223,7.223,210417.0,81.071,81.071,195288.0,75.242,75.242
11,Garrett,13873,47.815,47.815,12516,43.138,43.138,1069,3.684,3.684,14942.0,51.499,51.499,13585.0,46.822,46.822
12,Harford,168479,65.956,65.956,156347,61.207,61.207,14942,5.849,5.849,183421.0,71.806,71.806,171289.0,67.056,67.056
13,Howard,275408,84.561,84.561,254229,78.059,78.059,15499,4.759,4.759,290907.0,89.32,89.32,269728.0,82.817,82.817
14,Kent,12192,62.774,62.774,11149,57.404,57.404,1066,5.489,5.489,13258.0,68.263,68.263,12215.0,62.893,62.893
15,Montgomery,888117,84.527,84.527,796920,75.847,75.847,50422,4.799,4.799,938539.0,89.326,89.326,847342.0,80.646,80.646
16,Prince George's,654853,72.015,72.015,574893,63.222,63.222,34490,3.793,3.793,689343.0,75.808,75.808,609383.0,67.015,67.015
17,Queen Anne's,32769,65.042,65.042,30153,59.85,59.85,2948,5.851,5.851,35717.0,70.894,70.894,33101.0,65.701,65.701
18,St. Mary's,70294,61.928,61.928,64346,56.688,56.688,4544,4.003,4.003,74838.0,65.931,65.931,68890.0,60.691,60.691
19,Somerset,12429,48.52,48.52,11319,44.187,44.187,1279,4.993,4.993,13708.0,53.513,53.513,12598.0,49.18,49.18
20,Talbot,25580,68.799,68.799,23331,62.75,62.75,3139,8.442,8.442,28719.0,77.241,77.241,26470.0,71.192,71.192
21,Washington,79663,52.74,52.74,72807,48.201,48.201,12405,8.213,8.213,92068.0,60.952,60.952,85212.0,56.413,56.413
22,Wicomico,56030,54.078,54.078,51224,49.44,49.44,4908,4.737,4.737,60938.0,58.815,58.815,56132.0,54.177,54.177
23,Worcester,36181,69.211,69.211,32944,63.019,63.019,3030,5.796,5.796,39211.0,75.008,75.008,35974.0,68.816,68.816
24,Unknown,483412,,,341899,,,45812,,,529224.0,,,387711.0,,
